NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
33,3.1398,3.62787,9.84699,10.0727,18.7053,18.6196,0,0,0,0,1.53665,4.50321,0,0,5.41174,3.15529,9.80373,11.0519,1.11689,1.13756,1.48861,1.50548,2.33803,1.88874,52,52,52,52,52,52,85.193,90.5697,91.955,97.5638,105.04,119.907,19.0695,19.0826,28.2896,45.7143,57.9751,76.3172,87.8834,8,5,6.41174,7.15529,15.80373,18.0519,1.11689,1.13756,1.67170903,1.75087324,2.8991572,1.699866,20,25,30,30,35,40
34,14.3746,18.4736,25.1827,25.4404,26.8806,27.3372,0,0,2.77275,3.52731,7.62212,10.1698,6.88174,9.33086,13.9578,14.6227,17.8118,19.2717,1.91995,2.60272,3.95257,3.7097,2.79289,2.33779,52,52,52,52,52,52,95.4958,101.992,105.73,110.672,114.069,120.227,60.0988,62.8656,68.4387,70.9289,76.3241,83.3004,88.5178,14.88174,14.33086,14.9578,18.6227,23.8118,26.2717,1.91995,2.60272,4.43873611,4.3143811,3.4631836,2.104011,20,25,30,30,35,40
35,3.58302,4.91158,15.0258,20.3191,23.874,23.6124,0,0,0,0.260646,4.29498,7.26416,0,0,7.04606,10.501,14.3595,15.5651,1.13563,1.19577,2.00344,3.01765,2.8788,2.19751,52,52,52,52,52,52,87.6554,93.2783,96.4329,104.705,111.353,120.178,28.9189,34.262,54.7401,64.4491,70.9459,81.9751,88.42,8,5,8.04606,14.501,20.3595,22.5651,1.13563,1.19577,2.24986312,3.50952695,3.569712,1.977759,20,25,30,30,35,40
36,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.0948,87.1617,87.2827,90.6256,92.0751,94.4743,6.67664,3.24428,2.59243,3.18337,3.95597,15.3035,13.9528,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
37,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.6396,86.661,86.7319,90.1963,91.2822,91.5139,4.85572,1.37704,1.00255,0.0127307,0.652451,4.38999,1.61787,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
38,0,0,1.87863,2.32744,3.20104,2.62334,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0668,1.08411,1.11945,1.09582,52,52,52,52,52,52,84.2281,89.5083,90.3574,93.7807,94.8356,95.3763,15.2097,13.6669,14.278,14.5207,15.4584,17.5914,17.7112,8,5,1,4,6,7,1,1,1.1980164,1.26081993,1.388118,0.986238,20,25,30,30,35,40
39,0,0,0,7.10543E-15,1.8912,0.538171,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.06728,1.01827,52,52,52,52,52,52,82.0124,87.0711,87.6665,91.721,94.8707,94.3472,6.34724,4.54545,6.64948,11.8041,15.6045,16.1246,13.4231,8,5,1,4,6,7,1,1,1.123,1.163,1.3234272,0.916443,20,25,30,30,35,40
40,0,0,0.566966,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.01926,1,1,1,52,52,52,52,52,52,84.2234,89.5032,89.6693,92.5664,92.864,92.6032,15.191,11.3345,9.78059,7.36706,7.24316,11.0015,6.15643,8,5,1,4,6,7,1,1,1.14462898,1.163,1.24,0.9,20,25,30,30,35,40
41,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.2208,87.3004,87.5642,91.6578,93.0317,92.286,7.18083,4.19855,6.41563,6.71365,7.94201,4.34354,4.83488,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
42,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.8194,87.9588,88.1485,91.3034,92.5104,95.2819,9.57525,6.17921,5.10279,5.25989,5.76998,17.3216,17.3177,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
43,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.5015,86.5091,86.8296,90.2423,91.491,94.5062,4.30354,1.70826,1.17287,0.936933,1.52223,8.33711,14.0858,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
44,0,0,0,7.10543E-15,2.44526,2.79833,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.08874,1.10287,52,52,52,52,52,52,82.9288,88.0791,88.6678,92.2232,94.1593,99.0265,10.0127,7.93949,8.50955,10.0828,12.6401,22.2197,32.9204,8,5,1,4,6,7,1,1,1.123,1.163,1.3500376,0.992583,20,25,30,30,35,40
45,0,0,0,7.10543E-15,0.972147,0.155201,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.03349,1.0052,52,52,52,52,52,52,83.989,89.2453,88.8162,91.6512,93.4058,94.3402,14.2535,8.44253,6.39098,7.55639,9.50054,29.044,13.3942,8,5,1,4,6,7,1,1,1.123,1.163,1.2815276,0.90468,20,25,30,30,35,40
46,3.02867,3.05128,7.1087,8.48516,9.02318,9.08423,0,0,0,0,0,0,0,0,3.40341,1.81113,1.94899,2.81118,1.11229,1.11323,1.31054,1.39439,1.43015,1.43432,52,52,52,52,52,52,85.8579,91.3012,92.7951,96.5388,97.504,98.1956,21.7292,21.9306,24.4931,25.8125,26.5764,28.6806,29.4583,8,5,4.40341,5.81113,7.94899,9.81118,1.11229,1.11323,1.47173642,1.62167557,1.773386,1.290888,20,25,30,30,35,40
47,5.44468,6.36361,6.49584,2.78626,2.18929,1.92736,0,0,0,0,0,0,0,0.23666,2.68097,0,0,0,1.22173,1.26923,1.27637,1.10238,1.07872,1.06866,52,52,52,52,52,52,87.4918,93.0984,92.2343,93.92,94.1362,94.955,28.2647,20.0294,14.7941,12.6324,12.5441,17.8382,15.9559,8,5.23666,3.68097,4,6,7,1.22173,1.26923,1.43336351,1.28206794,1.3376128,0.961794,20,25,30,30,35,40
48,0,0,0,2.36176,8.16588,7.52456,0,0,0,0,0,0,0,0,0,0,1.30225,1.85774,1,1,1,1.08545,1.374,1.33479,52,52,52,52,52,52,82.72,87.8494,88.9351,93.5782,98.1611,98.4642,9.17749,8.8456,13.5281,23.3117,29.3146,30.9235,30.5772,8,5,1,4,7.30225,8.85774,1,1,1.123,1.26237835,1.70376,1.201311,20,25,30,30,35,40
49,0,0,0,7.10543E-15,5.05624,1.5988,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.20271,1.05629,52,52,52,52,52,52,82.7129,87.8416,88.7142,92.6799,98.5895,94.0164,9.14894,8.09693,10.2009,17.5414,31.0993,18.5106,12.0449,8,5,1,4,6,7,1,1,1.123,1.163,1.4913604,0.950661,20,25,30,30,35,40
50,0,0,0.95615,1.40711,4.41463,4.88966,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.03292,1.04921,1.17255,1.19473,52,52,52,52,52,52,83.8197,89.0591,89.77,93.2215,95.0858,99.3811,13.5761,11.6758,12.207,13.4337,16.5005,24.9836,34.3976,8,5,1,4,6,7,1,1,1.15996916,1.22023123,1.453962,1.075257,20,25,30,30,35,40
51,0,0,0,7.10543E-15,0.394491,0.762255,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.01332,1.02607,52,52,52,52,52,52,82.2919,87.3785,87.8761,91.418,93.1349,98.9191,7.46512,5.25581,5.52713,6.78295,8.37209,16.814,32.4729,8,5,1,4,6,7,1,1,1.123,1.163,1.2565168,0.923463,20,25,30,30,35,40
52,0,0,3.91443,5.67296,12.5798,12.6597,0,0,0,0,0,0,0,0,1.40565,0,4.41513,5.73224,1,1,1.15006,1.2332,1.72214,1.73008,52,52,52,52,52,52,84.051,89.3135,90.3469,95.1501,100.809,103.373,14.5015,13.6315,19.35,31.7204,40.347,47.5415,51.0313,8,5,2.40565,4,10.41513,12.73224,1,1,1.29151738,1.4342116,2.1354536,1.557072,20,25,30,30,35,40
53,0.129388,0.379665,1.8474,1.62034,5.7341,6.25503,0,0,0,0,0,0,0,0,0.804678,0,0,0.115082,1.00433,1.01282,1.06562,1.0571,1.2363,1.26343,52,52,52,52,52,52,84.1298,89.4002,89.8894,93.3545,95.6403,102.165,14.8168,12.0806,12.6995,15.0244,18.8111,34.263,45.9976,8,5,1.804678,4,6,7.115082,1.00433,1.01282,1.19669126,1.2294073,1.533012,1.137087,20,25,30,30,35,40
54,7.5482,7.85348,14.606,16.0364,16.9822,17.7412,0,0,0,0,0,0.593293,0,0,7.23483,7.09798,7.71731,9.68916,1.3362,1.35461,1.94881,2.14845,2.30454,2.33425,52,52,52,52,52,52,88.7826,94.5183,97.2368,101.486,102.722,103.047,33.4279,36.9869,42.8166,46.8559,48.3188,49.3668,49.6725,8,5,8.23483,11.09798,13.71731,16.68916,1.3362,1.35461,2.18851363,2.49864735,2.8576296,2.100825,20,25,30,30,35,40
55,8.94962,9.51207,12.4003,10.3768,10.7561,12.3459,0,0,0.984953,0,0,0,2.15992,2.46171,7.2432,3.34891,3.57933,5.1677,1.42515,1.46428,1.61424,1.5288,1.55894,1.69933,52,52,52,52,52,52,88.5338,94.2446,95.4136,97.5074,98.041,101.788,32.4328,30.8068,28.0807,26.7359,28.8142,36.7237,44.4254,10.15992,7.46171,8.2432,7.34891,9.57933,12.1677,1.42515,1.46428,1.81279152,1.7779944,1.9330856,1.529397,20,25,30,30,35,40
56,0,0,1.59597,8.97181,14.1824,9.75529,0,0,0,0,0,0,0,0,0,1.48401,6.05823,4.62874,1,1,1.05619,1.42666,1.89662,1.48187,52,52,52,52,52,52,83.4296,88.63,89.9874,96.1699,102.009,96.8056,12.0159,12.4127,23.127,45.619,45.3492,30.5556,23.6667,8,5,1,5.48401,12.05823,11.62874,1,1,1.18610137,1.65920558,2.3518088,1.333683,20,25,30,30,35,40
